game_id,market,actor,actor_id,price,round,type,date,time
HZHQaZgypwJ2,spades,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,55,32,buy,8/3/2022,16:56:108
HZHQaZgypwJ2,spades,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,55,32,buy,8/3/2022,16:56:402
HZHQaZgypwJ2,diamonds,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,60,32,buy,8/3/2022,16:56:857
HZHQaZgypwJ2,diamonds,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,60,32,buy,8/3/2022,16:56:151
HZHQaZgypwJ2,diamonds,Ben,19c283e8-9e18-4a9e-8f67-c01b4964b6e9,46,32,buy,8/3/2022,16:56:955
HZHQaZgypwJ2,diamonds,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,46,32,buy,8/3/2022,16:56:721
HZHQaZgypwJ2,spades,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,55,32,buy,8/3/2022,16:56:191
HZHQaZgypwJ2,diamonds,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,46,32,buy,8/3/2022,16:56:324
HZHQaZgypwJ2,diamonds,Ben,19c283e8-9e18-4a9e-8f67-c01b4964b6e9,46,32,buy,8/3/2022,16:56:85
HZHQaZgypwJ2,diamonds,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,46,32,buy,8/3/2022,16:56:868
HZHQaZgypwJ2,diamonds,Ben,19c283e8-9e18-4a9e-8f67-c01b4964b6e9,46,32,buy,8/3/2022,16:56:274
HZHQaZgypwJ2,diamonds,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,39,32,buy,8/3/2022,16:56:483
HZHQaZgypwJ2,diamonds,Isolde,079a625f-5cb1-4a69-a30f-989260ab503f,39,32,buy,8/3/2022,16:56:236
HZHQaZgypwJ2,diamonds,Ben,19c283e8-9e18-4a9e-8f67-c01b4964b6e9,39,32,buy,8/3/2022,16:56:665
HZHQaZgypwJ2,diamonds,feyzi,f4999301-77c9-4a82-868c-bcbcd6e3a38a,39,32,buy,8/3/2022,16:56:85
HZHQaZgypwJ2,diamonds,Isolde,079a625f-5cb1-4a69-a30f-989260ab503f,39,32,buy,8/3/2022,16:56:900
HZHQaZgypwJ2,diamonds,Ben,19c283e8-9e18-4a9e-8f67-c01b4964b6e9,39,32,buy,8/3/2022,16:56:681
